,overall_medvol,first5min_medvol,last5min_medvol
0,42739.16,33806.880000000005,63543.54
1,25548.5,19033.92,33869.92
2,26228.1,19536.0,37162.705
3,41667.0,37667.5,51770.44
4,34014.58,30904.545000000002,43513.2
5,28287.940000000002,21251.7,39206.590000000004
6,24720.61,18771.9,39087.32
7,29798.0,25474.370000000003,40025.399999999994
8,57259.95,42542.7,84268.525
9,33052.0,24336.75,51623.03999999999
10,39236.84,32438.614999999998,56046.03
11,23147.96,18152.91,31807.2
12,47091.07,39398.93,57278.259999999995
13,25917.4,22110.730000000003,35044.299999999996
14,36578.81,30957.64,51114.845
15,35564.880000000005,29103.0,51013.11
16,22566.21,16766.550000000003,34530.18
17,30135.120000000003,24778.64,43663.465
18,37286.08,27045.699999999997,60056.565
19,32095.83,24543.965,40962.880000000005
20,32538.07,24049.480000000003,50833.979999999996
21,37026.41,28464.760000000002,58268.27
22,41027.35,31453.92,59874.795
23,29376.59,23696.93,38032.21000000001
24,41160.82,32780.435,56069.259999999995
25,31279.6,24215.510000000002,47642.045
26,611974.36,502537.33999999997,765553.84
27,25474.190000000002,20433.2,35320.61
28,27547.6,23872.07,34502.18
29,32217.9,24325.98,49263.130000000005
30,42982.64,31165.46,70463.435
31,112031.1,88323.195,154607.82
32,35750.0,26506.1,54269.02
33,24592.59,19648.86,31763.62
34,35708.84,27898.5,51311.42
35,33270.509999999995,24739.98,48836.79
36,40771.41,32729.58,59019.9
37,41286.71,30050.02,48166.275
38,86638.05,65522.03,127282.92
39,28046.25,22922.585,41498.380000000005
40,29094.54,21234.16,44749.61
41,45952.009999999995,39181.705,57681.46
42,24631.23,16484.725,41355.0
43,32474.07,24252.2,39705.56
44,40806.24,35071.72,51801.44
45,72810.53,62785.435,97293.5
46,28127.18,20437.34,42464.695
47,29909.05,22001.559999999998,42019.6
48,38734.619999999995,31572.64,52250.86
49,138222.47999999998,107494.20999999999,201104.49
50,34731.51,27550.2,51574.015
51,22580.940000000002,17616.129999999997,32341.77
52,25759.620000000003,22003.0,39606.05
53,80733.12,56418.149999999994,135630.785
54,24550.48,20573.73,34264.47
55,65795.9,47600.66,103920.845
56,29463.379999999997,23484.355,40750.0
57,23412.760000000002,19336.585,31858.25
58,34613.68,28850.739999999998,49457.475000000006
59,35395.08,25374.010000000002,53996.21
60,29577.0,23232.79,39382.44
61,108796.39,78813.44,166772.175
62,23402.17,15830.974999999999,34380.020000000004
63,36986.259999999995,26558.76,59475.91
64,25163.56,17327.59,48211.3
65,147240.31,112183.425,225269.08000000002
66,24947.2,20287.394999999997,33507.28
67,28384.0,23326.04,35449.845
68,39823.81,28064.92,54754.619999999995
69,359198.28,286973.425,499751.70999999996
70,19017.2,14484.0,26588.97
71,33879.17,26650.760000000002,49926.82
72,35077.509999999995,31516.59,44448.805
73,129407.23,96082.49,201424.70500000002
74,23011.0,17261.239999999998,32794.29
75,32455.64,28825.77,38351.61
76,34206.0,24114.265,50765.880000000005
77,34628.91,26276.4,46395.595
78,106729.1,81644.59,160657.44
79,215774.26,160210.08000000002,329779.57
80,16979.93,12871.62,24217.65
81,30772.0,26474.16,39146.30500000001
82,151964.77000000002,119022.985,212137.05
83,425804.53,326536.64,622580.75
84,68538.75,56010.89,92846.9
85,22173.58,16913.805,32717.46
86,20821.8,16711.68,28619.55
87,20695.120000000003,16239.38,30583.89
88,35275.18,27199.43,48281.1
89,24448.5,19948.645,32826.81
90,28101.059999999998,17925.345,36131.05
91,27586.17,20781.01,42627.520000000004
92,18539.21,14542.439999999999,28186.775
93,28182.68,21199.735,44131.8
94,20717.48,14711.08,35174.68
95,82795.09,64161.0,116473.42
96,52867.0,38536.0,84887.725
97,23576.28,19830.605,35059.59
98,276165.75,225074.0,361578.6
99,120053.16500000001,89654.4,184084.345
100,60266.75,46554.770000000004,89972.23
101,39926.520000000004,28550.58,69507.745
102,33544.81,27158.68,45444.12
103,31040.33,24118.254999999997,41894.21
104,105303.0,75964.045,164323.59999999998
105,150149.8,114955.68000000001,222833.09999999998
106,25409.059999999998,18811.32,39836.575000000004
107,31668.699999999997,22076.61,47396.15
108,27720.72,20669.88,42383.405
109,344554.5,273435.66500000004,477777.0
110,54794.67,41516.61,75522.88
111,40071.24,29916.15,62028.990000000005
112,141485.26,112356.92000000001,193333.815
113,36019.979999999996,26331.185,57542.9
114,32898.0,23945.92,42276.415
115,28573.02,20711.29,40472.630000000005
116,33392.37,25183.269999999997,38617.34
117,451141.29000000004,370650.68000000005,585141.105
118,43724.76,34314.94,67816.73999999999
119,23966.6,15942.19,32529.4
120,74874.61,54633.259999999995,117152.32
121,234742.41999999998,176883.37,357302.47
122,485814.63,399765.14,625020.2
123,95784.72,71408.93,141012.12
124,25777.92,19122.38,38784.155
125,29169.870000000003,18694.72,42528.89
126,88571.62,66290.965,135685.84
127,31671.6,24228.215,44822.119999999995
128,45974.119999999995,33949.56,71496.36
129,23347.04,17444.39,35016.6
130,67131.0,48484.26,102355.72
131,33607.86,25734.0,52067.14
132,34806.4,22377.35,43770.755000000005
133,25967.07,20829.085,37628.96
134,280023.92,223965.815,384089.9
135,153867.115,118548.91,227577.64
136,24511.43,19621.4,35181.7
137,33692.2,27097.91,47811.32
138,16807.0,13914.15,21941.809999999998
139,32750.43,24545.79,43218.53
140,39758.2,35846.0,53197.125
141,33485.25,27259.48,45748.880000000005
142,39309.5,33215.18,53676.8
143,238460.22,207030.06,293250.07999999996
144,40929.15,31870.754999999997,61350.64
145,43401.67,31355.82,69801.81
146,29895.84,24147.56,38394.82
147,74805.33,55281.2,114332.255
148,60669.74,44225.65,95798.75
149,36823.9,30517.33,43288.604999999996
150,48222.17,38772.785,68047.63
151,312946.45,239177.09000000003,461723.88
152,25773.0,20585.48,38686.509999999995
153,46214.84,34369.979999999996,70138.5
154,98918.08,74464.68000000001,153086.91
155,31245.88,23664.42,43243.28
156,132774.53999999998,100143.4,195918.69
157,28488.89,20565.955,40192.520000000004
158,21111.52,16733.82,28503.260000000002
159,26576.34,21493.35,38232.13
160,52772.06,42223.979999999996,72208.35500000001
161,73166.14,55382.09,109206.66500000001
162,28350.84,20414.6,37573.545
163,35086.520000000004,30312.06,44494.6
164,30145.04,25722.22,43242.35
165,235464.06,184076.72999999998,331929.01
166,199152.66,149442.72999999998,300395.2
167,37770.36,27080.64,52104.965
168,96339.75,78003.51999999999,131006.25
169,18347.07,15316.05,25902.535
170,38630.72,29197.6,60230.815
171,30478.5,24376.04,43934.744999999995
172,31912.94,23799.85,47523.505000000005
173,31843.5,23933.75,42024.68
174,46662.0,34888.42,69913.11
175,85225.5,70011.54000000001,116237.42000000001
176,36758.31,26784.129999999997,57250.14
177,20640.65,14648.875,33332.5
178,26679.27,20231.8,39761.14
179,57653.09,47011.0,70583.82
180,18863.4,13913.865,27016.54
181,31882.64,20206.93,38797.0
182,85891.38,65044.79000000001,128630.16
183,34334.21,28119.7,49795.13
184,28673.7,21940.620000000003,40391.58
185,27617.77,20698.795,45097.68
186,50225.25,37374.79,77129.52
187,44613.5,32434.73,58580.17
188,40821.2,29933.485,64322.88
189,32471.15,24945.65,47578.14
190,29245.08,23478.44,41119.67
191,59573.05,50974.534999999996,78087.84
192,27031.48,23692.5,38943.399999999994
193,55169.0,42708.090000000004,79799.37
194,30714.4,22817.239999999998,47180.42
195,51941.55,38331.17,76798.74
196,42476.95,30245.125,69101.82
197,30070.04,23667.870000000003,40730.615
198,304739.25,234244.15,454837.83999999997
199,114127.1,86858.81,172703.44
